TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.alibaba.fastjson.util.Base64,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8775524668984189,939,778
com.alibaba.fastjson.util.ParameterizedTypeImpl,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,157,157
com.alibaba.fastjson.serializer.BeanContext,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9270833333333334,141,99
